[2025-07-22 22:14:02] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.178.226 sport=59906 dport=443 [UNREPLIED] src=142.250.178.226 dst=192.168.10.111 sport=443 dport=59906
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=40682 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=40682
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=56804 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=56804
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.178.195 sport=36648 dport=443 [UNREPLIED] src=142.250.178.195 dst=192.168.10.111 sport=443 dport=36648
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=172.217.168.49 sport=56676 dport=443 [UNREPLIED] src=172.217.168.49 dst=192.168.10.111 sport=443 dport=56676
[2025-07-22 22:14:02] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=172.217.168.49 sport=46788 dport=443 [UNREPLIED] src=172.217.168.49 dst=192.168.10.111 sport=443 dport=46788
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=58765 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=58765
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.106 sport=53090 dport=443 [UNREPLIED] src=142.250.203.106 dst=192.168.10.111 sport=443 dport=53090
[2025-07-22 22:14:02] [NEW] udp      17 30 src=192.168.10.111 dst=142.250.203.106 sport=38853 dport=443 [UNREPLIED] src=142.250.203.106 dst=192.168.10.111 sport=443 dport=38853
[2025-07-22 22:14:02] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.106 sport=53784 dport=443 [UNREPLIED] src=142.250.203.106 dst=192.168.10.111 sport=443 dport=53784
[2025-07-22 22:14:03] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=42247 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=42247
[2025-07-22 22:14:03] [NEW] udp      17 30 src=192.168.10.111 dst=172.217.168.46 sport=44800 dport=443 [UNREPLIED] src=172.217.168.46 dst=192.168.10.111 sport=443 dport=44800
[2025-07-22 22:14:03] [NEW] udp      17 30 src=192.168.10.111 dst=172.217.168.46 sport=44181 dport=443 [UNREPLIED] src=172.217.168.46 dst=192.168.10.111 sport=443 dport=44181
[2025-07-22 22:14:08] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=49721 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=49721
[2025-07-22 22:14:08] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=51245 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=51245
[2025-07-22 22:14:08] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=34.49.51.44 sport=48892 dport=443 [UNREPLIED] src=34.49.51.44 dst=192.168.10.111 sport=443 dport=48892
[2025-07-22 22:14:08] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=151.101.129.91 sport=41386 dport=443 [UNREPLIED] src=151.101.129.91 dst=192.168.10.111 sport=443 dport=41386
